trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.75, 'e': 0.95}",20,0,-80.32448857751025,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
2,False,"{'a': 0.75, 'e': 0.8999999999999999}",20,0,-67.46798951067011,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",0
3,False,"{'a': 0.75, 'e': 0.8499999999999999}",30,0,-91.10945269183478,"{0: 21, 1: 5, 2: 2, 3: 1, 4: 1}",0
4,False,"{'a': 0.75, 'e': 0.7999999999999998}",25,0,-104.59130454751887,"{0: 17, 1: 0, 2: 6, 3: 1, 4: 1}",0
5,False,"{'a': 0.75, 'e': 0.7499999999999998}",25,13,-35.76587095102643,"{0: 9, 1: 2, 2: 0, 3: 0, 4: 1}",1
6,False,"{'a': 0.75, 'e': 0.6999999999999997}",20,7,-88.95847489697314,"{0: 6, 1: 1, 2: 5, 3: 0, 4: 1}",1
7,False,"{'a': 0.75, 'e': 0.6499999999999997}",20,4,-34.67514975429551,"{0: 11, 1: 0, 2: 5, 3: 0, 4: 0}",1
8,False,"{'a': 0.75, 'e': 0.5999999999999996}",20,0,-122.89840880068282,"{0: 13, 1: 0, 2: 4, 3: 1, 4: 2}",0
9,False,"{'a': 0.75, 'e': 0.5499999999999996}",25,0,-42.74732683825171,"{0: 18, 1: 3, 2: 3, 3: 1, 4: 0}",0
10,False,"{'a': 0.75, 'e': 0.4999999999999996}",30,17,-8.469634445668447,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 0}",1
11,False,"{'a': 0.75, 'e': 0.4499999999999996}",20,0,-51.92495681508959,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",0
12,False,"{'a': 0.75, 'e': 0.39999999999999963}",25,0,-116.37477591670913,"{0: 19, 1: 0, 2: 0, 3: 5, 4: 1}",0
13,False,"{'a': 0.75, 'e': 0.34999999999999964}",25,12,-3.6470311707629506,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
14,False,"{'a': 0.75, 'e': 0.29999999999999966}",20,0,-89.87404036014944,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
15,False,"{'a': 0.75, 'e': 0.24999999999999967}",35,19,-76.57735418823351,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 2}",1
16,False,"{'a': 0.75, 'e': 0.19999999999999968}",30,5,6.512560006541014,"{0: 23, 1: 1, 2: 0, 3: 1, 4: 0}",1
17,False,"{'a': 0.75, 'e': 0.1499999999999997}",25,14,1.4042021305268015,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
18,False,"{'a': 0.75, 'e': 0.09999999999999969}",30,0,-26.672384512092925,"{0: 27, 1: 0, 2: 2, 3: 0, 4: 1}",0
19,False,"{'a': 0.75, 'e': 0.049999999999999684}",25,17,12.49665692371483,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.75, 'e': -3.191891195797325e-16}",25,9,27.678692305539368,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",25,6,32.5924708295258,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",25,0,25.72149030396652,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
3,True,"{'a': 0, 'e': 0}",20,2,31.065387000897402,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",20,10,16.480708630657382,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",30,24,10.38466255302447,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",20,10,15.863533456334157,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",30,0,-11.990857717108685,"{0: 27, 1: 1, 2: 1, 3: 0, 4: 1}",0
8,True,"{'a': 0, 'e': 0}",25,0,-11.102376538207325,"{0: 23, 1: 1, 2: 0, 3: 0, 4: 1}",0
9,True,"{'a': 0, 'e': 0}",25,7,6.0589468922644505,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",30,0,1.987186052271869,"{0: 29, 1: 0, 2: 0, 3: 0, 4: 1}",0
