trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.6, 'e': 0.995}",20,0,-162.49621513841137,"{0: 11, 1: 4, 2: 1, 3: 1, 4: 3}",0
2,False,"{'a': 0.6, 'e': 0.99}",35,0,-244.19648251958068,"{0: 18, 1: 6, 2: 7, 3: 0, 4: 4}",0
3,False,"{'a': 0.6, 'e': 0.985}",25,0,-192.26847168447978,"{0: 9, 1: 7, 2: 5, 3: 2, 4: 2}",0
4,False,"{'a': 0.6, 'e': 0.98}",25,0,-121.64680403248376,"{0: 12, 1: 3, 2: 8, 3: 2, 4: 0}",0
5,False,"{'a': 0.6, 'e': 0.975}",20,0,-137.33264968635453,"{0: 9, 1: 5, 2: 4, 3: 0, 4: 2}",0
6,False,"{'a': 0.6, 'e': 0.97}",30,0,-93.10916736101065,"{0: 19, 1: 2, 2: 8, 3: 1, 4: 0}",0
7,False,"{'a': 0.6, 'e': 0.965}",25,0,-113.86032771468055,"{0: 14, 1: 5, 2: 3, 3: 2, 4: 1}",0
8,False,"{'a': 0.6, 'e': 0.96}",35,0,-107.06110484437029,"{0: 22, 1: 1, 2: 11, 3: 1, 4: 0}",0
9,False,"{'a': 0.6, 'e': 0.955}",25,0,-84.68993805278305,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
10,False,"{'a': 0.6, 'e': 0.95}",25,0,-184.69021739578258,"{0: 16, 1: 2, 2: 3, 3: 0, 4: 4}",0
11,False,"{'a': 0.6, 'e': 0.945}",20,1,-51.07327338541821,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 1}",1
12,False,"{'a': 0.6, 'e': 0.94}",25,12,-21.541634381562215,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
13,False,"{'a': 0.6, 'e': 0.9349999999999999}",20,3,14.383203350081807,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
14,False,"{'a': 0.6, 'e': 0.9299999999999999}",20,0,-53.07468876833586,"{0: 12, 1: 4, 2: 4, 3: 0, 4: 0}",0
15,False,"{'a': 0.6, 'e': 0.9249999999999999}",20,0,-59.027107677711626,"{0: 14, 1: 2, 2: 2, 3: 2, 4: 0}",0
16,False,"{'a': 0.6, 'e': 0.9199999999999999}",20,0,-103.32747798569548,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
17,False,"{'a': 0.6, 'e': 0.9149999999999999}",25,0,-114.01987379638406,"{0: 12, 1: 5, 2: 7, 3: 0, 4: 1}",0
18,False,"{'a': 0.6, 'e': 0.9099999999999999}",25,0,-131.67905499324507,"{0: 14, 1: 2, 2: 6, 3: 2, 4: 1}",0
19,False,"{'a': 0.6, 'e': 0.9049999999999999}",20,7,-155.58833899311023,"{0: 5, 1: 0, 2: 4, 3: 2, 4: 2}",1
20,False,"{'a': 0.6, 'e': 0.8999999999999999}",30,4,-183.10619844675875,"{0: 11, 1: 5, 2: 7, 3: 1, 4: 2}",1
21,False,"{'a': 0.6, 'e': 0.8949999999999999}",25,0,-62.94973635886865,"{0: 19, 1: 2, 2: 2, 3: 1, 4: 1}",0
22,False,"{'a': 0.6, 'e': 0.8899999999999999}",20,2,-188.85245520521838,"{0: 10, 1: 1, 2: 2, 3: 1, 4: 4}",1
23,False,"{'a': 0.6, 'e': 0.8849999999999999}",20,0,-99.64233627553895,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
24,False,"{'a': 0.6, 'e': 0.8799999999999999}",20,0,-218.42232842208298,"{0: 11, 1: 0, 2: 3, 3: 2, 4: 4}",0
25,False,"{'a': 0.6, 'e': 0.8749999999999999}",20,0,-141.57556998112486,"{0: 10, 1: 1, 2: 7, 3: 0, 4: 2}",0
26,False,"{'a': 0.6, 'e': 0.8699999999999999}",25,0,-84.2782002683926,"{0: 14, 1: 6, 2: 3, 3: 2, 4: 0}",0
27,False,"{'a': 0.6, 'e': 0.8649999999999999}",20,0,-101.15445117666509,"{0: 14, 1: 2, 2: 1, 3: 1, 4: 2}",0
28,False,"{'a': 0.6, 'e': 0.8599999999999999}",30,0,-131.103315350951,"{0: 18, 1: 2, 2: 8, 3: 1, 4: 1}",0
29,False,"{'a': 0.6, 'e': 0.8549999999999999}",20,0,-99.91328210845026,"{0: 12, 1: 4, 2: 0, 3: 3, 4: 1}",0
30,False,"{'a': 0.6, 'e': 0.8499999999999999}",30,0,-99.98536125935273,"{0: 22, 1: 2, 2: 3, 3: 2, 4: 1}",0
31,False,"{'a': 0.6, 'e': 0.8449999999999999}",25,0,-57.0932189579104,"{0: 17, 1: 1, 2: 7, 3: 0, 4: 0}",0
32,False,"{'a': 0.6, 'e': 0.8399999999999999}",20,0,-84.21937067921324,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
33,False,"{'a': 0.6, 'e': 0.8349999999999999}",30,11,-125.61979704746771,"{0: 11, 1: 1, 2: 4, 3: 1, 4: 2}",1
34,False,"{'a': 0.6, 'e': 0.8299999999999998}",20,0,-33.32826547314609,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
35,False,"{'a': 0.6, 'e': 0.8249999999999998}",20,0,-75.78484984832649,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
36,False,"{'a': 0.6, 'e': 0.8199999999999998}",25,0,-107.39670269045689,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 2}",0
37,False,"{'a': 0.6, 'e': 0.8149999999999998}",20,0,-110.33046205880532,"{0: 10, 1: 1, 2: 8, 3: 0, 4: 1}",0
