trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.75, 'e': 0.95}",25,0,-131.33105416996355,"{0: 14, 1: 4, 2: 4, 3: 2, 4: 1}",0
2,False,"{'a': 0.75, 'e': 0.8999999999999999}",25,7,-53.77376967852048,"{0: 13, 1: 2, 2: 2, 3: 0, 4: 1}",1
3,False,"{'a': 0.75, 'e': 0.8499999999999999}",25,0,-106.25224617091327,"{0: 16, 1: 5, 2: 2, 3: 0, 4: 2}",0
4,False,"{'a': 0.75, 'e': 0.7999999999999998}",20,0,-107.67972270618085,"{0: 10, 1: 4, 2: 4, 3: 1, 4: 1}",0
5,False,"{'a': 0.75, 'e': 0.7499999999999998}",30,0,-254.81074425295074,"{0: 15, 1: 2, 2: 7, 3: 2, 4: 4}",0
6,False,"{'a': 0.75, 'e': 0.6999999999999997}",25,0,-81.6834941728991,"{0: 14, 1: 6, 2: 3, 3: 2, 4: 0}",0
7,False,"{'a': 0.75, 'e': 0.6499999999999997}",30,0,-194.22235047262873,"{0: 15, 1: 3, 2: 9, 3: 1, 4: 2}",0
8,False,"{'a': 0.75, 'e': 0.5999999999999996}",30,0,-201.42396107867347,"{0: 15, 1: 3, 2: 8, 3: 2, 4: 2}",0
9,False,"{'a': 0.75, 'e': 0.5499999999999996}",20,0,-118.76946127953947,"{0: 9, 1: 4, 2: 5, 3: 1, 4: 1}",0
10,False,"{'a': 0.75, 'e': 0.4999999999999996}",35,0,-138.1996223621037,"{0: 22, 1: 5, 2: 4, 3: 3, 4: 1}",0
11,False,"{'a': 0.75, 'e': 0.4499999999999996}",20,0,-73.35372604314023,"{0: 12, 1: 3, 2: 3, 3: 2, 4: 0}",0
12,False,"{'a': 0.75, 'e': 0.39999999999999963}",20,0,-98.38586405598943,"{0: 9, 1: 6, 2: 4, 3: 0, 4: 1}",0
13,False,"{'a': 0.75, 'e': 0.34999999999999964}",25,0,-94.78990212444562,"{0: 15, 1: 5, 2: 3, 3: 1, 4: 1}",0
14,False,"{'a': 0.75, 'e': 0.29999999999999966}",25,0,-121.51150177447846,"{0: 13, 1: 4, 2: 7, 3: 0, 4: 1}",0
15,False,"{'a': 0.75, 'e': 0.24999999999999967}",25,1,-99.63395854465172,"{0: 16, 1: 1, 2: 4, 3: 2, 4: 1}",1
16,False,"{'a': 0.75, 'e': 0.19999999999999968}",25,0,-108.35134144329614,"{0: 14, 1: 3, 2: 7, 3: 0, 4: 1}",0
17,False,"{'a': 0.75, 'e': 0.1499999999999997}",25,0,-247.94130090948522,"{0: 8, 1: 3, 2: 10, 3: 1, 4: 3}",0
18,False,"{'a': 0.75, 'e': 0.09999999999999969}",25,0,-191.7651419083537,"{0: 13, 1: 3, 2: 5, 3: 1, 4: 3}",0
19,False,"{'a': 0.75, 'e': 0.049999999999999684}",25,0,-132.08295054567958,"{0: 13, 1: 4, 2: 5, 3: 2, 4: 1}",0
20,False,"{'a': 0.75, 'e': -3.191891195797325e-16}",20,0,-134.326013878916,"{0: 10, 1: 4, 2: 3, 3: 1, 4: 2}",0
1,True,"{'a': 0, 'e': 0}",25,0,-81.15245362573536,"{0: 17, 1: 0, 2: 6, 3: 2, 4: 0}",0
2,True,"{'a': 0, 'e': 0}",20,0,-66.43272343424857,"{0: 13, 1: 2, 2: 3, 3: 2, 4: 0}",0
3,True,"{'a': 0, 'e': 0}",30,0,-160.74545558104157,"{0: 18, 1: 4, 2: 4, 3: 2, 4: 2}",0
4,True,"{'a': 0, 'e': 0}",35,0,-340.46708477081586,"{0: 19, 1: 3, 2: 5, 3: 1, 4: 7}",0
5,True,"{'a': 0, 'e': 0}",20,0,-115.34430281523949,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
6,True,"{'a': 0, 'e': 0}",25,0,-161.3704209209013,"{0: 14, 1: 3, 2: 4, 3: 2, 4: 2}",0
7,True,"{'a': 0, 'e': 0}",20,0,-71.67987939113065,"{0: 11, 1: 4, 2: 4, 3: 1, 4: 0}",0
8,True,"{'a': 0, 'e': 0}",35,0,-199.05094849977044,"{0: 21, 1: 3, 2: 7, 3: 1, 4: 3}",0
9,True,"{'a': 0, 'e': 0}",25,13,-81.62473385134432,"{0: 5, 1: 4, 2: 1, 3: 1, 4: 1}",1
10,True,"{'a': 0, 'e': 0}",30,0,-162.45630402336786,"{0: 15, 1: 5, 2: 7, 3: 2, 4: 1}",0
